episode,reward
1016,-50.890960879979815
1017,-46.44745647603243
1018,-51.16543430790523
1019,-50.0019855927523
1020,-45.460746868549684
1021,-60.267484209547405
1022,-46.44061497392412
1023,-45.260315547602225
1024,-48.00242604127709
1025,-45.859107870860825
1026,-50.278226146172855
1027,-53.11675087154785
1028,-49.34687953175007
1029,-47.08794631697928
1030,-57.25925696701541
1031,-41.6860026709405
1032,-47.65815870592809
1033,-54.087270497102466
1034,-56.11943981829203
1035,-40.49971485606573
1036,-51.966297004866895
1037,-55.52860902568528
1038,-51.826021414651116
1039,-51.1370176361545
1040,-53.50988031168085
1041,-58.274868734138494
1042,-50.39463242967974
1043,-43.91021765040975
1044,-47.48840019417503
1045,-41.66330148143436
1046,-48.24416161896798
1047,-50.73834849720288
1048,-52.05560561409505
1049,-49.81068667009574
1050,-52.757105764295005
1051,-52.58352930703632
1052,-50.64039653896706
1053,-53.436784513729854
1054,-47.86285205830739
1055,-44.81886243468759
1056,-41.54699207942382
1057,-52.10759059288457
1058,-53.61987045650909
1059,-47.05302822398638
1060,-58.17519147905329
1061,-51.196082725851696
1062,-55.367097069162305
1063,-44.620773807135556
1064,-48.97235475093391
1065,-46.51430128577212
1066,-53.20021471348144
1067,-47.76702518213953
1068,-42.296934814160785
1069,-53.18067814875734
1070,-50.22384367964494
1071,-54.961787965940516
1072,-54.890977326767285
1073,-46.65312574049333
1074,-48.94468298418471
1075,-50.95900800669597
1076,-47.93262311533955
1077,-62.42484039974677
1078,-53.32401407278161
1079,-50.54712068231008
1080,-45.80945751828314
1081,-51.55093628597554
1082,-59.47996293714163
1083,-50.60307653585059
1084,-44.8512933590252
1085,-31.77024426071543
1086,-48.591859173393225
1087,-46.4278478811305
1088,-46.707578564563505
1089,-43.383377248803114
1090,-46.06413992450488
1091,-49.82672587419027
1092,-50.41837238794487
1093,-43.13140468257841
1094,-49.94315556380832
1095,-42.31723983179614
1096,-50.310067744904494
1097,-56.232802158957355
1098,-47.11077136568808
1099,-50.339459047136806
1100,-42.67734660437607
1101,-47.504721374115405
1102,-50.73780092234912
1103,-49.07281810929392
1104,-45.593684382829125
1105,-46.00144692688938
1106,-49.15802716707767
1107,-49.89237001209196
1108,-43.88336978252887
1109,-51.13976407833434
1110,-47.41233466258296
1111,-44.891243579909236
1112,-44.430722967225975
